Timestamp,EventType,ParticipantID,ParticipantAge,ParticipantGender,BlockNumber,TrialNumber,EffortLevel,RequiredPresses,DecisionType,DecisionTime,OutcomeType,RewardCollected,MovementDuration,TotalPresses,TotalScore,PracticeScore,AdditionalInfo,StartX,StartY,EndX,EndY,StepDuration,TirednessRating,ParticipantFeedback,PenaltyType,PenaltyDuration,RemainingTime,TotalBlocks,TrialsPerBlock,TotalTrials,BlockOrder,BlockDistribution
2025-03-23 00:33:44.391,ExperimentSetup,6639ba1a258d1a06a958a91d,21,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-1,-2,1,2,Block1=1;Block2=1,2025-03-23 00:33:44,True,274E183A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:34:26.698,InfoMessage,6639ba1a258d1a06a958a91d,21,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Score Manager Destroyed,Final Total Score: 0, Final Practice Score: 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:34:26.829,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,299.90,0,-179.90,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:34:29.207,DecisionOutcome,6639ba1a258d1a06a958a91d,21,Male,1,1,1,2,NoDecision,2.500,Timeout,False,0.000,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:34:29.209,ScoreUpdate,6639ba1a258d1a06a958a91d,21,Male,1,1,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False,-,-,-,-,-,-,0,ScoreAdded,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:34:29.210,PenaltyStart,6639ba1a258d1a06a958a91d,21,Male,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NoDecision,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:34:34.503,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,292.42,0,-172.42,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:34:34.704,InfoMessage,6639ba1a258d1a06a958a91d,21,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Score Manager Destroyed,Final Total Score: 0, Final Practice Score: 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:34:37.185,DecisionOutcome,6639ba1a258d1a06a958a91d,21,Male,1,2,1,2,NoDecision,2.500,Timeout,False,0.000,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:34:37.186,ScoreUpdate,6639ba1a258d1a06a958a91d,21,Male,1,2,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False,-,-,-,-,-,-,0,ScoreAdded,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:34:37.187,PenaltyStart,6639ba1a258d1a06a958a91d,21,Male,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NoDecision,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:34:37.421,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,289.90,0,-169.90,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:34:42.490,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,284.83,0,-164.83,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:34:42.684,InfoMessage,6639ba1a258d1a06a958a91d,21,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Score Manager Destroyed,Final Total Score: 0, Final Practice Score: 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
