Timestamp,EventType,ParticipantID,ParticipantAge,ParticipantGender,BlockNumber,TrialNumber,EffortLevel,RequiredPresses,DecisionType,DecisionTime,OutcomeType,RewardCollected,MovementDuration,TotalPresses,TotalScore,PracticeScore,AdditionalInfo,StartX,StartY,EndX,EndY,StepDuration,TirednessRating,ParticipantFeedback
2025-03-10 19:25:13.502,ExperimentSetup,1,20,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-10 19:25:14.025,ExperimentStart,1,20,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-10 19:25:34.186,BlockStart,1,20,Male,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-10 19:25:34.540,InfoMessage,1,20,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-10 19:25:35.026,BlockTimeStatus,1,20,Male,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-10 19:25:35.999,DecisionMetrics,1,20,Male,1,1,-,-,Work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-10 19:25:36.002,DecisionOutcome,1,20,Male,1,1,3,5,Work,1.455,Failure,False,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-10 19:25:36.181,InfoMessage,1,20,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-10 19:25:38.707,MovementStart,1,20,Male,-,1,-,-,-,-,-,-,-,-,-,-,-,6.50,-2.50,-,-,-,-,-
2025-03-10 19:25:38.709,MovementStep,1,20,Male,-,1,-,-,-,-,-,-,-,-,-,-,-,6.50,-2.50,5.50,-2.50,0.000,-,-
2025-03-10 19:25:39.869,MovementStart,1,20,Male,-,1,-,-,-,-,-,-,-,-,-,-,-,5.50,-2.50,-,-,-,-,-
2025-03-10 19:25:39.870,MovementStep,1,20,Male,-,1,-,-,-,-,-,-,-,-,-,-,-,5.50,-2.50,4.50,-2.50,0.000,-,-
2025-03-10 19:25:41.069,MovementStart,1,20,Male,-,1,-,-,-,-,-,-,-,-,-,-,-,4.50,-2.50,-,-,-,-,-
2025-03-10 19:25:41.070,MovementStep,1,20,Male,-,1,-,-,-,-,-,-,-,-,-,-,-,4.50,-2.50,3.50,-2.50,0.000,-,-
2025-03-10 19:25:41.528,CollisionTime,1,20,Male,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-10 19:25:41.562,BlockTimeStatus,1,20,Male,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-10 19:25:41.563,TrialEnd,1,20,Male,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-10 19:25:41.737,InfoMessage,1,20,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-10 19:25:41.899,InfoMessage,1,20,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-10 19:25:42.551,ScoreUpdate,1,20,Male,1,2,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-
2025-03-10 19:25:42.553,DecisionOutcome,1,20,Male,1,2,1,2,Skip,0.652,Skip,False,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-10 19:25:45.724,InfoMessage,1,20,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-10 19:25:46.653,InfoMessage,1,20,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-10 19:25:48.373,MovementStart,1,20,Male,-,3,-,-,-,-,-,-,-,-,-,-,-,-6.50,3.50,-,-,-,-,-
2025-03-10 19:25:48.374,MovementStep,1,20,Male,-,3,-,-,-,-,-,-,-,-,-,-,-,-6.50,3.50,-5.50,3.50,0.000,-,-
2025-03-10 19:25:48.833,MovementStart,1,20,Male,-,3,-,-,-,-,-,-,-,-,-,-,-,-5.50,3.50,-,-,-,-,-
2025-03-10 19:25:48.834,MovementStep,1,20,Male,-,3,-,-,-,-,-,-,-,-,-,-,-,-5.50,3.50,-4.50,3.50,0.000,-,-
2025-03-10 19:25:49.306,MovementStart,1,20,Male,-,3,-,-,-,-,-,-,-,-,-,-,-,-4.50,3.50,-,-,-,-,-
2025-03-10 19:25:49.307,MovementStep,1,20,Male,-,3,-,-,-,-,-,-,-,-,-,-,-,-4.50,3.50,-3.50,3.50,0.000,-,-
2025-03-10 19:25:49.772,MovementStart,1,20,Male,-,3,-,-,-,-,-,-,-,-,-,-,-,-3.50,3.50,-,-,-,-,-
