Timestamp,EventType,ParticipantID,ParticipantAge,ParticipantGender,BlockNumber,TrialNumber,EffortLevel,RequiredPresses,DecisionType,DecisionTime,OutcomeType,RewardCollected,MovementDuration,TotalPresses,TotalScore,PracticeScore,AdditionalInfo,StartX,StartY,EndX,EndY,StepDuration,TirednessRating,ParticipantFeedback,PenaltyType,PenaltyDuration
2025-03-23 00:16:05.633,InfoMessage,6639ba1a258d1a06a958a91d,21,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:06.452,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:08.154,DecisionOutcome,6639ba1a258d1a06a958a91d,21,Male,2,39,2,4,NoDecision,2.500,Timeout,False,0.000,0,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:08.155,ScoreUpdate,6639ba1a258d1a06a958a91d,21,Male,2,39,-,-,-,-,-,-,-,-,30,0,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:08.157,PenaltyStart,6639ba1a258d1a06a958a91d,21,Male,-,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NoDecision,5
2025-03-23 00:16:13.464,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:13.678,InfoMessage,6639ba1a258d1a06a958a91d,21,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:16.168,DecisionOutcome,6639ba1a258d1a06a958a91d,21,Male,2,40,3,5,NoDecision,2.500,Timeout,False,0.000,0,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:16.169,ScoreUpdate,6639ba1a258d1a06a958a91d,21,Male,2,40,-,-,-,-,-,-,-,-,30,0,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:16.170,PenaltyStart,6639ba1a258d1a06a958a91d,21,Male,-,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NoDecision,5
2025-03-23 00:16:17.089,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:21.493,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:21.743,InfoMessage,6639ba1a258d1a06a958a91d,21,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:24.256,DecisionOutcome,6639ba1a258d1a06a958a91d,21,Male,2,41,1,2,NoDecision,2.500,Timeout,False,0.000,0,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:24.257,ScoreUpdate,6639ba1a258d1a06a958a91d,21,Male,2,41,-,-,-,-,-,-,-,-,30,0,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:24.258,PenaltyStart,6639ba1a258d1a06a958a91d,21,Male,-,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NoDecision,5
2025-03-23 00:16:27.603,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:29.866,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:30.484,InfoMessage,6639ba1a258d1a06a958a91d,21,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:32.911,DecisionOutcome,6639ba1a258d1a06a958a91d,21,Male,2,42,2,4,NoDecision,2.500,Timeout,False,0.000,0,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:32.912,ScoreUpdate,6639ba1a258d1a06a958a91d,21,Male,2,42,-,-,-,-,-,-,-,-,30,0,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:32.913,PenaltyStart,6639ba1a258d1a06a958a91d,21,Male,-,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NoDecision,5
2025-03-23 00:16:38.691,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:38.932,InfoMessage,6639ba1a258d1a06a958a91d,21,Male,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:39.397,BlockTimeStatus,6639ba1a258d1a06a958a91d,21,Male,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-03-23 00:16:41.990,DecisionOutcome,6639ba1a258d1a06a958a91d,21,Male,2,43,3,5,NoDecision,2.500,Timeout,False,0.000,0,-,-,-,-,-,-,-,-,-,-,-,-
